,id,symbol,partner_symbol,data_available_from,data_available_date
HQT,926034,HQT,HQT,1531785600,2018-07-17
HQX,535054,HQX,HQX,1505347200,2017-09-14
HSC,919094,HSC,HSC,1522713600,2018-04-03
HST,374246,HST,HST,1507161600,2017-10-05
HT,771595,HT,HT,1517356800,2018-01-31
HUR,849743,HUR,HUR,1513123200,2017-12-13
HVN,179329,HVN,HVN,1504137600,2017-08-31
HYDRO,930816,HYDRO,HYDRO,1521072000,2018-03-15
HYT,901980,HYT,HYT,1535587200,2018-08-30
ICHX,928902,ICHX,ICHX,1542240000,2018-11-15
ICN,25921,ICN,ICN,1477267200,2016-10-24
ICON,35825,ICON,ICX,1505779200,2017-09-19
IDEX,708404,IDEX,IDEX,1516233600,2018-01-18
IDH,708873,IDH,IDH,1510099200,2017-11-08
IDT,929180,IDT,IDT,1515801600,2018-01-13
IDXM,920342,IDXM,IDXM,1516233600,2018-01-18
IETH,667344,IETH,IETH,1507852800,2017-10-13
IFT,185669,IFT,IFT,1499990400,2017-07-14
IG,925318,IG,IG,1532131200,2018-07-21
IHF,925618,IHF,IHF,1526342400,2018-05-15
IHT,831814,IHT,IHT,1517356800,2018-01-31
IMT,925671,IMT,IMT,1529712000,2018-06-23
IND,185953,IND,IND,1502150400,2017-08-08
ING,750134,ING,ING,1517443200,2018-02-01
INS,370973,INS,INS,1514246400,2017-12-26
INSTAR,819702,INSTAR,INSTAR,1519776000,2018-02-28
INT,692839,INT,INT,1503792000,2017-08-27
INVC,819601,INVC,INV,1525737600,2018-05-08
INX,929389,INX,INX,1539388800,2018-10-13
INXT,344988,INXT,INXT,1504742400,2017-09-07
IOST,716522,IOST,IOST,1515628800,2018-01-11
IOTX,893122,IOTX,IOTX,1526860800,2018-05-21
IPC,776863,IPC,IPC,1502582400,2017-08-13
IPSX,844540,IPSX,IPSX,1519776000,2018-02-28
IQN,911125,IQN,IQN,1513382400,2017-12-16
ISR,925093,ISR,ISR,1529884800,2018-06-25
ITC,597629,ITC,ITC,1511481600,2017-11-24
ITL,893326,ITL,ITL,1509235200,2017-10-29
ITT,232678,ITT,ITT,1506038400,2017-09-22
IVY,890611,IVY,IVY,1523750400,2018-04-15
IXT,141171,IXT,IXT,1499731200,2017-07-11
J8T,819799,J8T,J8T,1519603200,2018-02-26
JC,770043,JC,JC,1513814400,2017-12-21
JET,666891,JET,JET,1505174400,2017-09-12
JNT,400702,JNT,JNT,1517443200,2018-02-01
JOINT,920327,JOINT,JOINT,1522972800,2018-04-06
JSE,924231,JSE,JSE,1531180800,2018-07-10
KAN,925339,KAN,KAN,1519862400,2018-03-01
KBC,916868,KBC,KBC,1518480000,2018-02-13
KCASH,925195,KCASH,KCASH,1530403200,2018-07-01
KCS,348628,KCS,KCS,1503360000,2017-08-22
KEY,360299,KEY,KEY,1515628800,2018-01-11
KICK,202849,KICK,KICK,1506297600,2017-09-25
KIN,177918,KIN,KIN,1505174400,2017-09-12
KIND,810794,KIND,KIND,1529107200,2018-06-16
KNC,310497,KNC,KNC,1505174400,2017-09-12
KRL,877048,KRL,KRL,1525046400,2018-04-30
KUE,926296,KUE,KUE,1533772800,2018-08-09
KWH,856128,KWH,KWH,1513814400,2017-12-21
LA,184163,LA,LA,1508284800,2017-10-18
LALA,831848,LALA,LALA,1515715200,2018-01-12
LAMB,930306,LAMB,LAMB,1537228800,2018-09-18
LATX,849939,LATX,LATX,1506988800,2017-10-03
LCS,831841,LCS,LCS,1520985600,2018-03-14
LDC,732021,LDC,LDC,1519862400,2018-03-01
LEDU,831932,LEDU,LEDU,1518048000,2018-02-08
LEND,418778,LEND,LEND,1512000000,2017-11-30
LEV,332804,LEV,LEV,1509840000,2017-11-05
LGO,710370,LGO,LGO,1520035200,2018-03-03
LIF,866491,LIF,LIF,1517270400,2018-01-30
LIFE,381189,LIFE,LIFE,1499558400,2017-07-09
LIKE,922038,LIKE,LIKE,1518048000,2018-02-08
LINA,930883,LINA,LINA,1522627200,2018-04-02
LINK,309621,LINK,LINK,1505520000,2017-09-16
LION,848906,LION,LION,1511827200,2017-11-28
LNC,676288,LNC,LNC,1504656000,2017-09-06
LND,866546,LND,LND,1520208000,2018-03-05
LOCI,404890,LOCI,LOCI,1512345600,2017-12-04
LOCK,517896,LOCK,LOC,1506384000,2017-09-26
LOOM,836492,LOOM,LOOM,1520035200,2018-03-03
LPT,926589,LPT,LPT,1525046400,2018-04-30
LQDN,926393,LQDN,LQD,1539820800,2018-10-18
LRC,318169,LRC,LRC,1501545600,2017-08-01
LST,920896,LST,LST,1520553600,2018-03-09
LTC,3808,LTC,LTC,1317945600,2011-10-07
LTO,928921,LTO,LTO,1547337600,2019-01-13
LUC,694313,LUC,LUC,1520899200,2018-03-13
LUN,67447,LUN,LUN,1490745600,2017-03-29
LYM,767260,LYM,LYM,1551052800,2019-02-25
M2O,926091,M2O,M2O,1536019200,2018-09-04
MANA,199148,MANA,MANA,1504656000,2017-09-06
MATIC,930246,MATIC,MATIC,1555718400,2019-04-20
MBTX,929583,MBTX,MBTX,1549929600,2019-02-12
MCO,166548,MCO,MCO,1498435200,2017-06-26
MDA,341279,MDA,MDA,1503792000,2017-08-27
MDCL,755707,MDCL,MTN,1517356800,2018-01-31
MDS,667050,MDS,MDS,1511568000,2017-11-25
MEDX,916795,MEDX,MEDX,1527465600,2018-05-28
MEE,836124,MEE,MEET,1522627200,2018-04-02
MENLO,925909,MENLO,ONE,1537056000,2018-09-16
META,927515,META,META,1534896000,2018-08-22
METAL,5373,METAL,MTL,1498694400,2017-06-29
METM,925936,METM,METM,1523750400,2018-04-15
MFG,683500,MFG,MFG,1519084800,2018-02-20
MFT,917211,MFT,MFT,1530662400,2018-07-04
MGO,531426,MGO,MGO,1496620800,2017-06-05
MIC,915386,MIC,MIC,1516233600,2018-01-18
MITH,847172,MITH,MITH,1518048000,2018-02-08
MITX,879004,MITX,MITX,1518652800,2018-02-15
MIXI,918566,MIXI,XIN,1511481600,2017-11-24
MKR,41192,MKR,MKR,1511568000,2017-11-25
MLN,45253,MLN,MLN,1548460800,2019-01-26
MNC,929223,MNC,MNC,1536364800,2018-09-08
MNE,84831,MNE,MNE,1492819200,2017-04-22
MNTP,240322,MNTP,MNTP,1505779200,2017-09-19
MOAC,925799,MOAC,MOAC,1529193600,2018-06-17
MOF,925268,MOF,MOF,1513728000,2017-12-20
MOLK,926114,MOLK,MOLK,1526256000,2018-05-14
MOT,716659,MOT,MOT,1513555200,2017-12-18
MRK,887531,MRK,MRK,1508457600,2017-10-20
MRPH,892731,MRPH,MRPH,1529712000,2018-06-23
MTC,885599,MTC,MTC,1517702400,2018-02-04
MTH,208914,MTH,MTH,1504137600,2017-08-31
MTKN,885623,MTKN,MT,1520726400,2018-03-11
MTRC,484742,MTRC,MTRC,1512950400,2017-12-11
MTX,257110,MTX,MTX,1504656000,2017-09-06
MVL,928103,MVL,MVL,1527724800,2018-05-31
MWAT,770254,MWAT,MWAT,1515974400,2018-01-15
MXAI,732161,MXAI,MAN,1516147200,2018-01-17
MXM,929811,MXM,MXM,1553644800,2019-03-27
MYB,179345,MYB,MYB,1525651200,2018-05-07
MYST,136190,MYST,MYST,1497312000,2017-06-13
NANJ,922271,NANJ,NANJ,1517875200,2018-02-06
NAS,619555,NAS,NAS,1500854400,2017-07-24
NAVI,780767,NAVI,NAVI,1522713600,2018-04-03
NBAI,879035,NBAI,NBAI,1522281600,2018-03-29
NBC,903748,NBC,NBC,1512086400,2017-12-01
NCASH,792548,NCASH,NCASH,1519516800,2018-02-25
NCC,929933,NCC,NCC,1521158400,2018-03-16
NCT,864038,NCT,NCT,1518739200,2018-02-16
NEC,777007,NEC,NEC,1518307200,2018-02-11
NEU,372377,NEU,NEU,1510444800,2017-11-12
NEXO,877073,NEXO,NEXO,1524960000,2018-04-29
NEXT,848051,NEXT,NEXT,1509840000,2017-11-05
NGC,466339,NGC,NGC,1513641600,2017-12-19
NIO,412112,NIO,NIO,1509494400,2017-11-01
NMR,166594,NMR,NMR,1497916800,2017-06-20
NOAH,882302,NOAH,NOAH,1508457600,2017-10-20
NOBS,922838,NOBS,NOBS,1525392000,2018-05-04
NOKU,861276,NOKU,NOKU,1513728000,2017-12-20
NOX,779335,NOX,NOX,1510963200,2017-11-18
NPER,925242,NPER,NPER,1518480000,2018-02-13
NPX,187015,NPX,NPX,1520380800,2018-03-07
NPXS,731516,NPXS,NPXS,1520467200,2018-03-08
NRG,927360,NRG,NRG,1524614400,2018-04-25
NRP,928390,NRP,NRP,1534809600,2018-08-21
NTK,439180,NTK,NTK,1514937600,2018-01-03
NULS,377792,NULS,NULS,1506643200,2017-09-29
NXC,35678,NXC,NXC,1463529600,2016-05-18
OAX,180013,OAX,OAX,1498089600,2017-06-22
OCN,714255,OCN,OCN,1515974400,2018-01-15
ODE,890624,ODE,ODE,1517616000,2018-02-03
OIO,898898,OIO,OIO,1534377600,2018-08-16
OKB,925144,OKB,OKB,1556236800,2019-04-26
OLE,925133,OLE,OLE,1521244800,2018-03-17
OLT,920779,OLT,OLT,1528848000,2018-06-13
OMG,187440,OMG,OMG,1499299200,2017-07-06
OMX,815543,OMX,OMX,1525996800,2018-05-11
ONG,428300,ONG,ONG,1510704000,2017-11-15
ONL,684364,ONL,ONL,1516579200,2018-01-22
OPEN,892524,OPEN,OPEN,1550966400,2019-02-24
OPT,197054,OPT,OPT,1500076800,2017-07-15
ORBS,929872,ORBS,ORBS,1527724800,2018-05-31
ORI,766681,ORI,ORI,1518134400,2018-02-09
ORME,301112,ORME,ORME,1503446400,2017-08-23
ORS,863174,ORS,ORS,1526169600,2018-05-13
OSA,899568,OSA,OSA,1539216000,2018-10-11
OST,369132,OST,OST,1510272000,2017-11-10
PAL,883061,PAL,PAL,1519862400,2018-03-01
PARETO,763768,PARETO,PARETO,1516579200,2018-01-22
PASS,925433,PASS,PASS,1526428800,2018-05-16
PAT,862146,PAT,PAT,1526515200,2018-05-17
PAX,925939,PAX,PAX,1536537600,2018-09-10
PAY,45260,PAY,PAY,1499385600,2017-07-07
PCH,925256,PCH,PCH,1525132800,2018-05-01
PCL,878206,PCL,PCL,1518566400,2018-02-14
PCO,919014,PCO,PCO,1525046400,2018-04-30
PFR,409155,PFR,PFR,1507680000,2017-10-11
PHI,901929,PHI,PHI,1519776000,2018-02-28
PIX,223283,PIX,PIX,1505779200,2017-09-19
PKT,344086,PKT,PKT,1509408000,2017-10-31
PLA,925240,PLA,PLA,1544486400,2018-12-11
PLAY,369251,PLAY,PLAY,1508112000,2017-10-16
PLBT,171884,PLBT,PLBT,1495497600,2017-05-23
PLR,184298,PLR,PLR,1499990400,2017-07-14
PLU,42837,PLU,PLU,1472947200,2016-09-04
PMA,661398,PMA,PMA,1525737600,2018-05-08
PMNT,901954,PMNT,PMNT,1517529600,2018-02-02
PNT,876093,PNT,PNT,1519516800,2018-02-25
POE,188811,POE,POE,1503360000,2017-08-22
POLL,319130,POLL,POLL,1508457600,2017-10-20
POLY,744820,POLY,POLY,1517184000,2018-01-29
POWR,339617,POWR,POWR,1496448000,2017-06-03
PPP,327500,PPP,PPP,1507593600,2017-10-10
PPT,179896,PPT,PPT,1499558400,2017-07-09
PRA,925159,PRA,PRA,1511913600,2017-11-29
PRG,225764,PRG,PRG,1508716800,2017-10-23
PRIX,257772,PRIX,PRIX,1508198400,2017-10-17
PRO,185695,PRO,PRO,1500249600,2017-07-17
PSM,925326,PSM,PSM,1528156800,2018-06-05
PST,255777,PST,PST,1528243200,2018-06-06
PTOY,129035,PTOY,PTOY,1496102400,2017-05-30
PXG,928354,PXG,PXG,1530748800,2018-07-05
PYLNT,718673,PYLNT,PYLNT,1506384000,2017-09-26
PYN,304833,PYN,PYN,1509840000,2017-11-05
QASH,402714,QASH,QASH,1507593600,2017-10-10
QBIT,930549,QBIT,QBIT,1543881600,2018-12-04
QCX,925042,QCX,QCX,1548115200,2019-01-22
QKC,899553,QKC,QKC,1527897600,2018-06-02
QNTU,925316,QNTU,QNTU,1522886400,2018-04-05
QSP,397757,QSP,QSP,1510876800,2017-11-17
QUANT,925881,QUANT,QNT,1529884800,2018-06-25
QUN,716767,QUN,QUN,1515110400,2018-01-05
QUSD,928960,QUSD,QUSD,1547683200,2019-01-17
R,345420,R,R,1504569600,2017-09-05
RCN,307219,RCN,RCN,1508803200,2017-10-24
RCT,749006,RCT,RCT,1514937600,2018-01-03
RDC,922623,RDC,RDC,1522713600,2018-04-03
RDD,4592,RDD,RDD,1551571200,2019-03-03
REAL,198490,REAL,REAL,1504137600,2017-08-31
REBL,370889,REBL,REBL,1509753600,2017-11-04
REF,731629,REF,REF,1506643200,2017-09-29
REM,625010,REM,REM,1512086400,2017-12-01
REP,17778,REP,REP,1531094400,2018-07-09
REQ,335059,REQ,REQ,1507334400,2017-10-07
REX,310589,REX,REX,1503878400,2017-08-28
RFR,795662,RFR,RFR,1506384000,2017-09-26
RHOC,434666,RHOC,RHOC,1489968000,2017-03-20
RIYA,238571,RIYA,RIYA,1497830400,2017-06-19
RLC,61877,RLC,RLC,1492473600,2017-04-18
RLX,441616,RLX,RLX,1501200000,2017-07-28
RMESH,925830,RMESH,RMESH,1527638400,2018-05-30
RNT,921526,RNT,RNT,1511827200,2017-11-28
RNTB,848115,RNTB,RNTB,1515801600,2018-01-13
ROBET,925693,ROBET,ROBET,1534464000,2018-08-17
ROCK,384950,ROCK,ROCK,1521590400,2018-03-21
ROX,832783,ROX,ROX,1525046400,2018-04-30
RRC,925305,RRC,RRC,1526947200,2018-05-22
RTE,918974,RTE,RTE,1523232000,2018-04-09
RUFF,744910,RUFF,RUFF,1515628800,2018-01-11
RVT,176280,RVT,RVT,1502236800,2017-08-09
SAL,921680,SAL,SAL,1515369600,2018-01-08
SALT,314580,SALT,SALT,1501545600,2017-08-01
SAN,177863,SAN,SAN,1499817600,2017-07-12
SCC,922214,SCC,SCC,1520899200,2018-03-13
SCL,255254,SCL,SCL,1501200000,2017-07-28
SCRL,920190,SCRL,SCRL,1523923200,2018-04-17
SEAL,926128,SEAL,SEAL,1523750400,2018-04-15
SEELE,905749,SEELE,SEELE,1526774400,2018-05-20
SENC,861348,SENC,SENC,1520208000,2018-03-05
SENT,718363,SENT,SENT,1514937600,2018-01-03
SETH,419209,SETH,SETH,1511481600,2017-11-24
SGN,715817,SGN,SGN,1520812800,2018-03-12
SGR,661777,SGR,SGR,1510617600,2017-11-14
SHE,925643,SHE,SHE,1515542400,2018-01-10
SHIP,830983,SHIP,SHIP,1519862400,2018-03-01
SHOW,776896,SHOW,SHOW,1515369600,2018-01-08
SHP,364472,SHP,SHP,1509926400,2017-11-06
SHPING,782954,SHPING,SHPING,1516406400,2018-01-20
SKIN,198369,SKIN,SKIN,1498003200,2017-06-21
SKM,890130,SKM,SKM,1523059200,2018-04-07
SKRB,910472,SKRB,SKB,1516233600,2018-01-18
SLT,924971,SLT,SLT,1531440000,2018-07-13
SMT,524113,SMT,SMT,1512777600,2017-12-09
SNC,179926,SNC,SNC,1498608000,2017-06-28
SNGLS,24926,SNGLS,SNGLS,1475366400,2016-10-02
SNIP,921575,SNIP,SNIP,1506643200,2017-09-29
SNM,136244,SNM,SNM,1497484800,2017-06-15
SNOV,311853,SNOV,SNOV,1505433600,2017-09-15
SNPC,927421,SNPC,SNPC,1541030400,2018-11-01
SNS,28027,SNS,SENSE,1513728000,2017-12-20
SNT,137013,SNT,SNT,1497830400,2017-06-19
SNTR,895370,SNTR,SNTR,1510185600,2017-11-09
SNTVT,928392,SNTVT,SNTVT,1531526400,2018-07-14
SNX,816635,SNX,SNX,1528675200,2018-06-11
SOAR,388145,SOAR,SOAR,1504310400,2017-09-02
SOC,788409,SOC,SOC,1516233600,2018-01-18
SOLVE,930126,SOLVE,SOLVE,1528934400,2018-06-14
SOMA,348278,SOMA,SCT,1506297600,2017-09-25
SPANK,411496,SPANK,SPANK,1511136000,2017-11-20
SPF,639943,SPF,SPF,1511136000,2017-11-20
SPHTX,379248,SPHTX,SPHTX,1513641600,2017-12-19
SPT,930153,SPT,SPT,1543017600,2018-11-24
SPX,683963,SPX,SPX,1518048000,2018-02-08
SRCH,186331,SRCH,PRE,1508803200,2017-10-24
SRCOIN,925404,SRCOIN,SRCOIN,1514246400,2017-12-26
SRN,380641,SRN,SRN,1513036800,2017-12-12
SS,877303,SS,SS,1520985600,2018-03-14
STAC,396716,STAC,STAC,1515110400,2018-01-05
STACS,927950,STACS,STACS,1542758400,2018-11-21
STAR,179947,STAR,STAR,1493596800,2017-05-01
STASH,928108,STASH,STASH,1547856000,2019-01-19
STC,776935,STC,STC,1515456000,2018-01-09
STK,734584,STK,STK,1517270400,2018-01-30
STORJ,187347,STORJ,STORJ,1497830400,2017-06-19
STORM,186875,STORM,STORM,1509926400,2017-11-06
STQ,777187,STQ,STQ,1506988800,2017-10-03
STU,184237,STU,STU,1505174400,2017-09-12
STX,204716,STX,STX,1501545600,2017-08-01
SUB,221463,SUB,SUB,1545004800,2018-12-17
SUR,177462,SUR,SUR,1502582400,2017-08-13
SUSD,928087,SUSD,SUSD,1528675200,2018-06-11
SVD,791282,SVD,SVD,1517184000,2018-01-29
SWARM,5342,SWARM,SWM,1508371200,2017-10-19
SWC,863074,SWC,SWC,1531008000,2018-07-08
SWFTC,718353,SWFTC,SWFTC,1501891200,2017-08-05
SWT,50741,SWT,SWT,1485216000,2017-01-24
SXDT,731917,SXDT,SXDT,1512950400,2017-12-11
SXUT,731943,SXUT,SXUT,1512950400,2017-12-11
TAAS,66270,TAAS,TAAS,1490140800,2017-03-22
TBX,876072,TBX,TBX,1512259200,2017-12-03
TCH,925903,TCH,TCH,1523318400,2018-04-10
TCT,716574,TCT,TCT,1514160000,2017-12-25
TDP,913585,TDP,TDP,1536019200,2018-09-04
TDS,640916,TDS,TDS,1514073600,2017-12-24
TEL,683827,TEL,TEL,1512950400,2017-12-11
TEN,780891,TEN,TEN,1516406400,2018-01-20
TFD,784553,TFD,TFD,1519257600,2018-02-22
TFL,150545,TFL,TFL,1498608000,2017-06-28
TFUEL,929751,TFUEL,TFUEL,1513209600,2017-12-14
TGAME,916828,TGAME,TGAME,1525996800,2018-05-11
TGT,472769,TGT,TGT,1499904000,2017-07-13
THETA,714811,THETA,THETA,1513209600,2017-12-14
THR,930244,THR,THR,1517270400,2018-01-30
THRT,922054,THRT,THRT,1523491200,2018-04-12
TIE,205991,TIE,TIE,1505779200,2017-09-19
TIG,765383,TIG,TIG,1512691200,2017-12-08
TIOX,372812,TIOX,TIOX,1540339200,2018-10-24
TIX,175671,TIX,TIX,1499558400,2017-07-09
TKN,71077,TKN,TKN,1494028800,2017-05-06
TMT,877052,TMT,TMT,1527984000,2018-06-03
TMTG,925371,TMTG,TMTG,1532217600,2018-07-22
TNB,517483,TNB,TNB,1508630400,2017-10-22
TNT,186309,TNT,TNT,1503619200,2017-08-25
TOMO,816702,TOMO,TOMO,1519776000,2018-02-28
TOPC,925484,TOPC,TOPC,1514419200,2017-12-28
TRAC,716641,TRAC,TRAC,1516752000,2018-01-24
TRAK,920939,TRAK,TRAK,1513296000,2017-12-15
TRCT,371004,TRCT,TRCT,1505174400,2017-09-12
TRDT,769862,TRDT,TRDT,1511395200,2017-11-23
TRIO,925516,TRIO,TRIO,1518480000,2018-02-13
TRST,37040,TRST,TRST,1492473600,2017-04-18
TRUE,887527,TRUE,TRUE,1515024000,2018-01-04
TSL,659973,TSL,TSL,1501545600,2017-08-01
TTC,929813,TTC,TTC,1529884800,2018-06-25
TTV,925078,TTV,TTV,1526515200,2018-05-17
TUSD,844139,TUSD,TUSD,1546560000,2019-01-04
UBC,861115,UBC,UBC,1520899200,2018-03-13
UBEX,890593,UBEX,UBEX,1526774400,2018-05-20
UBT,889870,UBT,UBT,1515628800,2018-01-11
UCT,894138,UCT,UCT,1517270400,2018-01-30
UDOO,929888,UDOO,UDOO,1532649600,2018-07-27
UFR,404806,UFR,UFR,1506988800,2017-10-03
UGAS,929793,UGAS,UGAS,1534896000,2018-08-22
UGC,369179,UGC,UGC,1514332800,2017-12-27
UKG,371005,UKG,UKG,1509753600,2017-11-04
UP,347247,UP,UP,1511222400,2017-11-21
UPP,906271,UPP,UPP,1526947200,2018-05-22
UQC,418694,UQC,UQC,1506988800,2017-10-03
USDC,925809,USDC,USDC,1536537600,2018-09-10
USDS,929229,USDS,USDS,1534291200,2018-08-15
USDT,171986,USDT,USDT,1511827200,2017-11-28
